titel;artiest;jaar;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Ik Doe Wat Ik Doe;Astrid Nijgh;1973;862;702;975;875;969;1094;1009;1425;1549;1215;1932;1945;1909;0;0;0
The Girl From Ipanema;Astrud Gilberto;1964;548;0;887;433;642;724;827;919;854;773;1646;1477;1799;1891;1766;1877
Whole Again;Atomic Kitten;2001;0;0;0;0;0;0;0;1960;1817;0;0;0;0;0;0;0
Pick Up The Pieces;Average White Band;1975;1168;0;1388;1458;1726;1568;0;0;0;0;0;0;0;0;0;0
Wake Me Up;Avicii;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1103;236
Hey Brother;Avicii;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1253;339
Ela Ela;Axis;1972;0;0;0;1833;0;0;0;0;0;0;0;0;0;0;0;0
Someone;Axis;1972;753;375;704;582;877;958;1123;1332;1555;1131;1657;1620;0;0;0;0
The Thrill Is Gone;B.B. King;1969;697;0;450;524;753;442;377;595;497;511;857;583;380;468;491;463
Ain't Nobody Home;B.B. King;1971;0;0;0;0;0;0;0;0;1253;0;1748;1568;1283;1543;0;1959
Yes Sir, I Can Boogie;Baccara;1977;1145;743;1235;1413;1572;1417;1881;0;1795;1861;0;0;0;0;0;0
You Ain't Seen Nothing Yet;Bachman Turner Overdrive;1974;895;161;216;192;246;421;267;374;352;314;482;461;533;877;937;639
Looking Out For Nr. 1;Bachman Turner Overdrive;1976;0;757;836;999;1411;1542;1229;1696;1711;1495;1961;0;0;0;0;0
I Want It That Way;Backstreet Boys;1999;0;0;0;0;0;0;0;0;0;0;1569;1977;1543;1645;1074;1234
Everybody;Backstreet Boys;1997;0;0;0;0;0;0;0;0;0;0;1762;0;0;0;1768;1671
As Long As You Love Me;Backstreet Boys;1997;404;0;1213;1333;1542;1129;1039;1616;1307;1340;1425;1126;1881;0;1885;1996
Quit Playing Games (With My Heart);Backstreet Boys;1996;517;454;1242;0;1655;1414;1227;1826;1785;1609;0;0;0;0;0;0
Feel Like Making Love;Bad Company;1975;0;0;0;0;0;0;0;0;0;0;1377;1322;1379;1687;1947;1236
Can't Get Enough;Bad Company;1974;0;0;0;0;0;0;0;1483;0;0;1708;1603;1558;0;0;0
Time Stood Still;Bad English;1991;0;0;0;0;0;0;0;0;1095;0;1374;1314;1284;1501;1569;1405
Robert de Niro's Waiting;Bananarama;1984;1564;0;1799;1847;0;0;0;0;0;0;0;0;0;0;0;0
Venus;Bananarama;1986;0;1532;0;1763;0;0;0;0;0;0;0;0;0;0;0;0
Do They Know It's Christmas;Band Aid;1984;143;137;277;298;612;203;709;815;934;563;992;985;1203;1262;1225;673
Eternal Flame;Bangles;1989;96;138;104;199;244;205;334;440;383;295;431;427;546;835;814;666
Hazy Shade Of Winter;Bangles;1988;0;1555;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Manic Monday;Bangles;1986;1204;0;1680;1878;0;0;0;0;0;0;0;0;0;0;0;0
Walk Like An Egyptian;Bangles;1986;999;1197;611;1036;1153;1097;1287;1646;1668;1368;1600;1774;0;0;0;0
Kristallnach;BAP;1983;0;0;0;0;0;0;0;320;208;606;314;347;376;537;562;490
Woman In Love;Barbra Streisand;1980;92;157;176;196;193;219;173;229;156;176;246;242;453;755;661;536
Memory;Barbra Streisand;1982;337;0;315;302;408;330;314;267;197;255;328;343;440;621;696;604
Papa Can You Hear Me?;Barbra Streisand;1983;0;0;0;0;0;0;0;0;358;1577;532;465;627;793;895;904
The Way We Were;Barbra Streisand;1973;903;0;1005;733;913;859;964;806;442;688;790;837;983;1126;1104;1170
Guilty;Barbra Streisand;1980;592;669;539;752;686;519;401;482;464;488;596;489;725;931;1358;1208
Tell Him;Barbra Streisand;1997;158;303;273;323;506;385;375;437;477;414;748;659;856;1436;1606;1463
Evergreen;Barbra Streisand;1977;1078;0;1536;1853;1752;1349;1386;1235;963;1242;1185;1116;1806;1733;1751;1795
Second Hand Rose;Barbra Streisand;1966;0;0;0;0;0;0;0;0;1674;0;0;0;0;0;0;0
I Finally Found Someone;Barbra Streisand & Bryan Adams;1997;795;918;994;1594;1428;1446;1569;1911;1708;1613;0;0;0;0;0;0
You Don't Bring Me Flowers;Barbra Streisand & Neil Diamond;1978;619;685;427;1665;1793;1321;1243;987;1347;1188;1355;1216;1714;1779;1381;1269
Titles;Barclay James Harvest;1976;934;525;536;805;932;1130;1385;1833;1208;1232;1882;1814;1980;1858;1936;1997
Soulfinger;Bar-kays;1967;1958;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
If You Go;Barry & Eileen;1975;1657;1557;1602;1684;1898;1714;1751;0;1828;1934;0;0;0;0;0;0
Mandy;Barry Manilow;1974;348;342;507;431;417;404;520;649;474;492;840;860;778;1245;1197;1084
Can't Smile Without Wou;Barry Manilow;1978;0;0;0;0;0;0;0;0;1776;0;0;0;0;0;0;0
Copacabana (At The Copa);Barry Manilow;1978;922;1204;860;655;1410;1478;1446;1453;1306;1332;1793;1662;1877;0;0;0
Eve Of Destruction;Barry McGuire;1965;373;296;380;285;454;391;534;551;508;476;945;900;1014;1235;1373;1483
Eloise;Barry Ryan;1968;100;97;83;117;108;141;127;145;70;110;258;261;365;410;553;566
You're The First The Last My Everything;Barry White;1974;531;664;317;399;380;266;262;345;233;277;446;391;403;617;570;456
Let The Music Play;Barry White;1976;0;0;0;0;1235;865;905;1290;926;1106;1433;1370;1408;1302;1641;1482
Can't Get Enough Of Your Love, Babe;Barry White;1974;0;1421;1585;0;0;1782;1804;1957;1940;1867;0;0;0;0;0;0
Never, Never Gonna Give You Up;Barry White;1974;1210;0;1396;0;1802;1578;1632;1828;1688;1724;0;0;0;0;0;0
Pompeii;Bastille;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1353;247
Things We Lost In The Fire;Bastille;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;552
Saturday Night;Bay City Rollers;1976;1896;0;1678;0;0;0;0;0;0;0;0;0;0;0;0;0
Loser;Beck;1994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1763
Staying Alive;Bee Gees;1978;108;153;101;255;284;277;409;434;503;357;489;407;455;633;533;579
How Deep Is Your Love;Bee Gees;1977;118;196;146;271;260;260;300;350;354;289;562;451;525;561;617;683
Massachusetts;Bee Gees;1967;214;233;171;295;227;253;259;287;230;243;425;349;468;802;870;785
Words;Bee Gees;1968;282;215;184;339;279;300;358;356;295;298;388;362;481;763;712;792
I Started A Joke;Bee Gees;1969;713;608;340;645;504;680;601;612;494;558;922;911;940;1066;1018;1051
Spicks And Specks;Bee Gees;1967;452;494;359;414;430;401;537;552;505;481;644;628;789;964;1209;1214
Nights On Broadway;Bee Gees;1975;0;705;511;606;616;803;775;920;1026;807;1114;1134;1296;1099;1270;1355
Tragedy;Bee Gees;1979;0;0;291;745;892;815;924;937;964;864;1138;1101;1330;1388;1336;1441
You Win Again;Bee Gees;1987;0;812;386;1282;781;887;915;1139;1001;940;1335;1432;1571;1602;1404;1577
Night Fever;Bee Gees;1978;461;353;241;539;740;618;880;861;799;718;1136;1150;1138;1011;1310;1619
Don't Forget To Remember;Bee Gees;1969;0;0;486;711;678;688;727;656;469;609;869;783;1013;1404;1428;1663
To Love Somebody;Bee Gees;1967;0;0;609;1649;1247;1172;1109;1236;1151;1179;1537;1438;1720;1964;1863;1952
Holiday;Bee Gees;1967;0;1261;1419;1755;1853;1905;0;0;1909;0;0;0;0;0;0;0
How Can You Mend A Broken Heart;Bee Gees;1971;0;0;0;0;895;1126;1056;1173;1039;1156;1265;1162;1506;0;1873;0
I've Gotta Get A Message To You;Bee Gees;1968;0;0;0;1434;1494;1445;1325;1450;1398;1455;1834;1726;1916;0;0;0
Jive Talkin';Bee Gees;1975;0;0;0;0;1601;1645;1791;1941;1922;1792;0;0;0;0;0;0
Lonely Days;Bee Gees;1970;797;729;561;814;544;956;872;1024;958;855;1488;1332;1613;1642;0;0
My World;Bee Gees;1972;0;0;0;0;1878;1766;1695;0;1710;1970;0;0;0;0;0;0
New York Mining Disaster 1941;Bee Gees;1967;0;1115;552;1035;1167;1302;1279;1477;1320;1283;1703;1478;1730;0;0;0
Spirits Having Flown;Bee Gees;1979;0;0;0;0;0;0;0;0;0;0;1923;0;0;0;0;0
Too Much Heaven;Bee Gees;1978;0;1152;0;0;1627;1901;1977;1805;0;1973;0;0;0;0;0;0
World;Bee Gees;1967;0;1158;946;1589;1488;1595;1829;1727;1955;1687;1979;1837;0;0;0;0
You Should Be Dancing;Bee Gees;1976;994;0;642;1187;1515;1647;1990;1848;1780;1676;0;1979;0;0;1866;0
Circle In The Sand;Belinda Carlisle;1988;1282;0;1470;1631;0;0;0;0;0;0;0;0;0;0;0;0
Heaven Is A Place On Earth;Belinda Carlisle;1988;926;0;1597;1457;1740;1443;1827;0;0;0;0;0;0;0;0;0
If I Said You Had A Beautiful Body;Bellamy Brothers;1979;1108;0;773;1309;1486;1153;1174;1437;994;1204;1859;0;0;0;0;0
Let Your Love Flow;Bellamy Brothers;1976;1315;675;746;915;1222;1086;1192;1418;1210;1186;1884;1720;1594;0;0;0
De Clown;Ben Cramer;1971;0;0;0;0;0;0;0;1486;1018;1846;1815;0;0;0;0;0
Stand By Me;Ben E. King;1987;320;620;538;962;1229;710;852;953;622;768;1218;1125;872;1173;982;1043
Keep Your Head Up;Ben Howard;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;136;213;342
Kill For A Broken Heart;Ben Saunders;2011;0;0;0;0;0;0;0;0;0;0;0;0;1924;0;0;0
Waarom Fluister Ik Je Naam Nog;Benny Neyman;1985;705;0;537;729;907;481;546;634;384;531;553;542;791;1203;1536;1500
Ik Weet Niet Hoe;Benny Neyman;1980;0;0;0;0;1850;0;1988;1711;0;0;0;0;0;0;0;0
Take My Breath Away;Berlin;1986;647;734;646;760;1198;1038;1660;1592;1479;1328;0;0;0;1904;1986;1787
Afrikaan Beat;Bert Kaempfert;1962;0;1413;997;1410;1307;1533;1818;1880;1825;1659;1809;1874;1988;1763;0;0
Another Day;Bertolf;2008;0;0;0;0;0;0;0;0;0;0;1916;1838;0;0;0;0
Mary;Bertolf;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;1737;0;0
Leave The Light On;Beth Hart;2003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1609;1195
The Rose;Bette Midler;1980;47;35;30;43;44;36;32;34;24;27;33;29;35;86;105;85
Beast Of Burden;Bette Midler;1984;521;459;346;595;751;547;571;782;756;650;899;825;1024;1280;1296;1105
Wind Beneath My Wings;Bette Midler;1980;0;0;0;0;0;0;626;603;471;817;858;746;902;1301;1445;1249
From A Distance;Bette Midler;1991;652;773;834;1063;847;756;721;1086;928;869;1650;1395;1813;0;0;0
To Deserve You;Bette Midler;1996;0;0;0;0;0;0;0;0;1937;0;0;0;0;0;0;0
Promise Me;Beverley Craven;1990;756;1223;1315;1078;930;1619;1967;1698;1715;1553;0;0;0;0;0;0
Halo;Beyoncé;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;1750;1089;473
If I Were A Boy;Beyoncé;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1358
Single Ladies (put a ring on it);Beyoncé;2008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1554
Crazy In Love;Beyoncé;2002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1604
If I Stay Too Long;Big Wheel;1969;1653;0;0;1889;0;0;0;0;0;0;0;0;0;0;0;0
Hold On To What You've Got;Bill & Buster;1971;0;1886;1891;0;0;0;0;0;0;0;0;0;0;0;0;0
(We're gonna) Rock Around The Clock;Bill Haley & The Comets;1955;239;516;636;740;660;896;891;1253;959;906;1725;1658;1686;0;0;0
See You Later Alligator;Bill Haley & The Comets;1956;1510;1795;1893;0;0;0;0;0;0;0;0;0;0;0;0;0
I've Had The Time Of My Life;Bill Medley & Jennifer Warnes;1987;615;741;998;1248;1445;1317;1511;1524;1666;1463;0;1809;1994;1887;1851;1738
Ain't No Sunshine;Bill Withers;1971;864;0;771;969;761;570;851;1044;851;814;1099;649;298;217;209;257
Lovely Day;Bill Withers;1978;1567;0;1385;1535;1722;1523;1800;1856;1781;1712;0;1823;1634;1594;1387;1549
Strange Fruit;Billie Holiday;1939;0;0;0;0;0;0;1651;1574;1003;1760;1482;1440;1258;1895;1745;1798
Summertime;Billie Holiday;1936;562;0;1012;789;547;776;859;1151;812;827;1293;1118;1194;1800;1837;0
Blanket On The Ground;Billie Jo Spears;1975;0;1546;1356;0;1923;1667;1871;0;0;0;0;0;0;0;0;0
Eyes Without A Face;Billy Idol;1984;0;0;0;0;0;0;1749;1499;1230;1793;1734;1575;1575;1824;1814;1511
Bad To Me;Billy J. Kramer & the Dakotas;1963;1937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Little Children;Billy J. Kramer & the Dakotas;1964;0;1564;0;0;1561;0;0;0;0;0;0;0;0;0;0;0
Hush;Billy Joe Royal;1968;1914;1835;1921;0;0;0;0;0;0;0;0;0;0;0;0;0
Piano Man;Billy Joel;1974;121;83;57;58;60;66;49;54;34;50;45;45;29;36;18;7
Goodnight Saigon;Billy Joel;1983;14;11;8;18;25;22;34;51;38;32;53;38;62;80;90;83
Leningrad;Billy Joel;1989;355;327;164;217;437;312;303;461;378;352;351;378;425;399;397;367
She's Always A Woman To Me;Billy Joel;1978;238;308;261;211;243;198;276;339;302;260;315;267;348;504;431;401
New York State Of Mind;Billy Joel;1976;0;1572;865;991;1705;1052;1149;1122;1009;1126;1216;891;1048;1214;973;493
Honesty;Billy Joel;1979;616;700;625;772;863;892;797;954;898;846;1247;1131;1345;1395;1501;1341
Just The Way You Are;Billy Joel;1978;1034;1444;769;1207;1176;1140;954;1161;921;1034;1446;1055;1431;1672;1530;1505
The Longest Time;Billy Joel;1984;944;1150;725;1185;1277;1513;1418;1517;1653;1442;1863;1591;0;0;1970;1916
We didn't start the fire;Billy Joel;1989;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1934
James;Billy Joel;1976;1215;0;1312;1228;0;1783;1666;1998;1887;1811;1941;0;0;0;0;0
My Life;Billy Joel;1979;1446;0;1138;0;0;0;0;0;0;0;0;0;0;0;0;0
Uptown Girl;Billy Joel;1983;0;0;949;1070;1710;1450;1606;1767;1923;1657;0;1975;0;0;1764;0
Love Really Hurts Without You;Billy Ocean;1976;0;0;0;0;0;0;1987;0;0;0;0;0;0;0;0;0
Loverboy;Billy Ocean;1985;1527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Red Lights Spells Danger;Billy Ocean;1977;0;1627;0;1770;0;0;0;0;0;0;0;0;0;0;0;0
Suddenly;Billy Ocean;1985;1050;0;1370;0;1682;0;0;0;0;0;0;0;0;0;0;0
When The Going Gets Tough The Tough Get Going;Billy Ocean;1986;1220;1154;1599;1837;0;1546;0;0;0;0;0;0;0;0;0;0
Me and Mrs. Jones;Billy Paul;1973;867;1037;1177;1255;658;945;1029;1376;1496;1142;1866;1243;1251;1575;1495;0
That's The Way God Planned It;Billy Preston;1969;1985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
It Will Come In Time;Billy Preston & Syreeta;1980;0;0;1974;0;0;0;0;0;0;0;0;0;0;0;0;0
With You I'm Born Again;Billy Preston & Syreeta;1980;1345;0;1453;1768;1656;1889;0;0;0;0;0;0;0;0;0;0
Summertime;Billy Stewart;1966;0;1527;1952;1947;0;0;0;0;0;0;0;0;0;0;0;0
I Can Help;Billy Swan;1974;1640;1324;1286;1657;0;1978;0;0;0;0;0;0;0;0;0;0
Sail Along Silvery Moon;Billy Vaughn;1958;1142;1046;1452;1805;1707;1902;1941;0;1967;1962;0;0;0;0;0;0
Wheels;Billy Vaughn;1961;1184;1234;1736;1569;1669;0;0;0;0;0;0;0;0;0;0;0
White Christmas;Bing Crosby;1954;218;712;1732;1480;1402;1476;1579;1927;1701;1612;0;0;0;0;0;0
Traveling In The USA;Bintangs;1970;0;0;0;0;0;0;0;1659;1183;1929;1977;1857;0;0;0;0
People Help The People;Birdy;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;313;560;1062
Skinny Love;Birdy;2011;0;0;0;0;0;0;0;0;0;0;0;0;957;412;682;1190
Raindrops Keep Falling On My Head;BJ Thomas;1970;1268;1462;1980;0;1880;1964;0;0;0;0;0;0;0;0;0;0
It's Oh So Quiet;Björk;1995;0;0;0;0;0;0;0;0;0;0;1529;0;1435;1413;1933;0
Wonderful Life;Black;1987;555;432;720;734;798;814;755;875;852;777;1463;1327;1469;1499;1435;1675
Remedy;Black Crowes;1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1094
Hard to handle;Black Crowes;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1660
Paranoid;Black Sabbath;1970;68;0;79;52;42;58;96;124;105;80;112;114;103;88;71;104
Promises Of No Man's Land;Blaudzun;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1873
Well All Right;Blind Faith;1969;1414;1407;1513;1565;0;1761;0;0;0;0;0;0;0;0;0;0
No Rain;Blind Melon;1993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1580
Even Aan M'n Moeder Vragen;Bloem;1980;598;784;937;998;885;1046;1299;1485;1463;1237;0;0;0;0;0;0
Zo Stil;Bløf;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;1576;852;229
Liefs Uit Londen;Bløf;1998;189;81;55;57;62;55;63;83;75;65;131;129;151;200;228;283
Aan De Kust;Bløf;1998;162;57;64;121;91;95;111;123;104;100;176;173;239;155;255;319
Harder Dan Ik Hebben Kan;Bløf;1999;0;0;112;85;107;74;120;132;128;118;263;276;317;315;327;383
Omarm;Bløf;2003;0;0;0;0;0;0;0;313;284;664;668;601;535;580;367;440
Dansen Aan Zee;Bløf;2000;0;0;0;0;103;163;186;226;190;190;336;263;292;307;386;443
Mooie Dag;Bløf;2002;0;0;0;0;147;112;134;169;194;158;344;345;433;397;389;510
Blauwe Ruis;Bløf;2002;0;0;0;0;1894;269;294;423;427;456;694;624;771;427;616;754
Alles Is Liefde;Bløf;2007;0;0;0;0;0;0;0;0;0;0;445;429;594;293;684;818
Aanzoek Zonder Ringen;Bløf;2007;0;0;0;0;0;0;0;0;251;1326;601;587;869;463;736;930
Wat Zou Je Doen;Bløf;1998;0;0;328;0;0;274;487;464;520;538;853;752;893;1035;975;1121
Later Als Ik Groter Ben;Bløf;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;942;1455;1251
Hou Vol Hou Vast;Bløf;2011;0;0;0;0;0;0;0;0;0;0;0;0;696;1063;1299;1346
Hemingway;Bløf;2007;0;0;0;0;0;0;0;0;380;1643;797;776;1114;1073;1205;1382
Hier;Bløf;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1653
Dichterbij Dan Ooit;Bløf;2001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1668
Beter;Bløf;2011;0;0;0;0;0;0;0;0;0;0;0;0;987;1524;0;0
Een Manier Om Thuis Te Komen;Bløf;2006;0;0;0;0;0;0;0;0;0;0;1631;0;0;1785;1836;0
Oktober;Bløf;2008;0;0;0;0;0;0;0;0;0;0;1394;0;0;0;0;0
Mannenharten;Bløf & Nielson;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1202
Meer Kan Het Niet Zijn;Bløf & Sabrina Starke;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;1075;1072;1174
Denis;Blondie;1978;192;122;193;213;268;164;223;343;406;258;363;301;431;541;700;778
Heart Of Glass;Blondie;1979;0;795;1295;1025;1269;1360;1513;1937;1581;1532;1552;1671;1627;1723;1759;1821
Hanging On The Telephone;Blondie;1979;0;0;0;0;0;0;1949;0;0;0;0;0;0;0;0;0
I'm Gonna Love You Too;Blondie;1978;0;0;1677;0;0;0;0;0;0;0;0;0;0;0;0;0
The Tide Is High;Blondie;1980;1454;1475;1659;1059;1079;963;1554;1935;0;1764;0;0;0;0;0;0
Spinning Wheel;Blood, Sweat & Tears;1969;717;897;765;777;891;912;821;942;1091;910;1648;1345;1618;0;0;0
You've Made Me So Very Happy;Blood, Sweat & Tears;1969;1138;0;1143;1674;1703;1532;1658;1609;1584;1603;0;1893;0;0;0;0
Summertime Blues;Blue Cheer;1968;970;768;0;972;1058;950;1028;1322;1317;1180;1727;1674;1765;0;0;0
Ramona;Blue Diamonds;1960;504;598;1036;948;460;752;707;833;747;703;1506;1394;1555;1517;0;0
Smoke Gets In Your Eyes;Blue Haze;1972;1737;1903;0;0;1998;0;0;0;0;0;0;0;0;0;0;0
Good Morning Freedom;Blue Mink;1970;0;1770;1854;1296;0;0;0;0;0;0;0;0;0;0;0;0
Melting Pot;Blue Mink;1970;1734;0;1327;1525;1661;0;1694;0;1968;0;0;0;0;0;0;0
The Banner Man;Blue Mink;1971;0;0;0;1797;1946;0;0;0;0;0;0;0;0;0;0;0
Don't Fear The Reaper;Blue Oyster Cult;1976;0;0;0;0;0;0;0;0;947;0;1087;996;899;914;723;801
Bonfire Heart;Blunt, James;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1323
Song 2;Blur;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;706
Harlem Shuffle;Bob & Earl;1969;0;1713;1943;0;1593;1833;0;0;0;0;0;0;0;0;0;0
Butterfly Kisses;Bob Carlisle;1997;816;1199;1644;1151;1318;1229;1283;1231;718;1038;1590;1707;1755;1659;1556;1729
Hurricane;Bob Dylan;1975;144;56;56;66;83;60;66;70;55;61;58;58;70;95;73;115
Like A Rollin' Stone;Bob Dylan;1965;169;88;195;215;200;110;133;138;100;125;149;174;174;253;233;261
Blowing In The Wind;Bob Dylan;1963;94;147;179;195;211;194;205;188;168;173;210;199;262;317;331;488
Knocking On Heaven's Door;Bob Dylan;1973;271;222;393;358;357;264;366;354;237;286;442;388;477;534;473;682
The Times Are A-Changing;Bob Dylan;1964;291;410;555;563;699;557;617;539;420;519;492;462;494;547;469;709
I Want You;Bob Dylan;1966;1021;0;1167;985;741;387;514;609;476;546;527;592;751;555;671;963
Lay Lady Lay;Bob Dylan;1969;858;0;1110;830;755;650;666;720;608;661;751;707;860;1111;999;1246
Subterranean Homesick Blues;Bob Dylan;1965;0;0;0;0;0;0;1538;916;827;1388;919;1032;1082;1442;873;1319
Just Like A Woman;Bob Dylan;1966;760;0;718;679;427;507;630;701;585;595;771;620;809;1136;1145;1361
I Threw It All Away;Bob Dylan;1969;1601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I'll Be Your Baby Tonight;Bob Dylan;1967;0;1440;0;1915;1902;1882;1863;0;1759;1965;0;0;0;0;0;0
Rainy Day Women Nos 12 & 35;Bob Dylan;1966;1534;0;0;1476;1421;1132;1769;1802;1568;1597;0;0;0;0;0;0
No Woman No Cry;Bob Marley & The Wailers;1975;39;63;92;93;75;70;93;113;79;86;106;54;79;141;156;233
Redemption Song;Bob Marley & The Wailers;1980;0;0;0;0;0;0;0;0;0;0;0;0;0;1931;666;250
Three Little Birds;Bob Marley & The Wailers;1977;0;0;0;0;0;0;0;0;0;0;0;0;1356;242;243;315
Could You Be Loved;Bob Marley & The Wailers;1980;522;735;557;709;1011;587;753;897;809;763;721;422;557;439;608;846
Stir It Up;Bob Marley & The Wailers;1979;625;0;768;666;595;392;588;661;611;578;641;554;644;721;764;1011
One Love - People Get Ready;Bob Marley & The Wailers;1984;0;0;0;0;0;0;0;1400;1154;1863;1172;1223;825;820;1117;1398
Get Up Stand Up;Bob Marley & The Wailers;1973;0;0;0;0;971;0;0;0;0;0;951;815;931;1072;1111;1703
Mexico;Bob Moore;1961;0;1787;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Against The Wind;Bob Seger;1980;881;715;483;477;543;664;581;650;283;482;798;782;846;962;1125;1401
Mainstreet;Bob Seger;1977;874;0;446;525;801;904;850;972;861;834;1043;1009;1110;1456;1611;1881
Still The Same;Bob Seger & the Silver Bullet Band;1978;1377;0;912;896;1276;1339;1568;1512;1321;1372;1943;1900;1967;0;0;0
Ode To Billie Joe;Bobbie Gentry;1967;1374;1946;1957;0;0;0;0;0;0;0;0;0;0;0;0;0
My Prerogative;Bobby Brown;1989;1743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Honey;Bobby Goldsboro;1968;0;1102;942;1116;1605;1091;1476;1389;1556;1377;0;0;0;0;0;0
Don't Worry Be Happy;Bobby McFerrin;1988;1557;0;1909;0;0;0;0;0;0;0;0;0;0;0;0;0
Loop De Loop;Bobby Rydell;1963;0;1973;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hurt;Bobby Vinton;1973;0;0;1788;0;0;0;0;0;0;0;0;0;0;0;0;0
Roses Are Red;Bobby Vinton;1962;1744;1876;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sealed With A Kiss;Bobby Vinton;1972;1113;1075;971;1378;1340;1145;1277;1303;1393;1288;0;1886;0;0;0;0
Frank Mills;Bojoura;1969;1483;1490;0;1512;0;0;0;0;1990;0;0;0;0;0;0;0
You're In The Army Now;Bolland & Bolland;1981;1507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bed Of Roses;Bon Jovi;1993;0;0;0;0;0;0;112;112;80;160;151;127;133;157;188;203
Living On A Prayer;Bon Jovi;1986;0;176;258;198;256;337;363;671;478;409;501;482;436;416;328;504
It's My Life;Bon Jovi;2000;0;0;0;0;0;0;0;392;306;740;495;415;401;318;385;564
Always;Bon Jovi;1994;0;76;128;143;176;204;289;330;308;238;520;577;495;420;499;689
Wanted Dead Or Alive;Bon Jovi;1987;0;0;0;0;0;0;0;0;0;0;1016;1016;992;774;818;960
You Give Love A Bad Name;Bon Jovi;1986;0;0;0;0;0;0;0;0;948;0;1006;957;1032;1090;1006;1321
In These Arms;Bon Jovi;1993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1559
(You want to) Make A Memory;Bon Jovi;2007;0;0;0;0;0;0;0;0;1332;0;1938;0;0;1857;0;0
Keep The Faith;Bon Jovi;1992;0;0;0;0;0;0;0;0;0;0;1457;1644;1691;1364;1656;0
Rivers Of Babylon;Boney M;1978;381;207;445;564;732;440;533;615;502;529;1143;950;1030;1662;1483;1824
Daddy Cool;Boney M;1976;1216;1369;1270;1907;0;1541;1510;1999;1665;1769;0;1783;1422;1403;1906;0
Ma Baker;Boney M;1977;723;746;934;1012;1798;1739;1470;1831;1509;1570;0;0;0;1845;0;0
Rasputin;Boney M;1978;0;0;0;1716;0;0;0;0;0;0;0;0;0;0;0;0
Sunny;Boney M;1977;1236;1293;1156;1784;1848;1977;0;0;0;0;0;0;0;0;0;0
I Can't Make You Love Me ;Bonnie Raitt;1991;0;0;0;0;0;0;0;0;706;1957;1345;1138;1232;1137;619;1124
I Won't Stand Between Them;Bonnie St. Claire;1970;1130;1103;953;956;1099;1361;1267;1620;1587;1386;0;1763;0;0;0;0
Total Eclipse Of The Heart;Bonnie Tyler;1983;86;133;142;124;215;208;264;352;316;245;486;478;503;629;579;645
It's A Heartache;Bonnie Tyler;1978;1702;0;1537;1980;1963;1715;1842;0;1837;1960;0;0;0;0;0;0
Lost In France;Bonnie Tyler;1977;0;1847;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Green Onions;Booker T & The MG's ;1962;0;0;0;0;0;0;0;1750;1471;1985;1460;1598;1417;1623;1492;1807
Time Is Tight;Booker T & The MG's ;1969;855;770;764;1021;1034;1196;784;742;607;752;1388;1287;1376;1854;1940;0
I Want To Wake Up With You;Boris Gardiner;1986;1916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
