titel;artiest;jaar;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Three Days In A Row;Anouk;2009;0;0;0;0;0;0;0;0;0;0;1242;106;290;526;535;694
Girl;Anouk;2004;0;0;0;0;0;0;168;143;163;264;370;701;550;454;716;829
I Don't Wanna Hurt;Anouk;2008;0;0;0;0;0;0;0;0;0;0;296;982;670;520;833;1055
Jerusalem;Anouk;2005;0;0;0;0;0;0;0;0;609;1891;900;0;988;821;987;1137
Sacrifice;Anouk;1998;0;0;0;0;0;0;675;420;440;722;671;725;847;782;1061;1274
Modern World;Anouk;2008;0;0;0;0;0;0;0;0;0;0;769;1230;1403;1282;1457;1290
R U Kiddin' Me;Anouk;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1452
Woman;Anouk;2009;0;0;0;0;0;0;0;0;0;0;0;656;1220;1145;1485;1556
I'm A Cliche;Anouk;2011;0;0;0;0;0;0;0;0;0;0;0;0;1623;1608;0;0
Save Me;Anouk;2011;0;0;0;0;0;0;0;0;0;0;0;0;1770;0;0;0
What Have You Done;Anouk;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;1599;0;0
I Want To Live;Aphrodite's Child;1969;0;0;0;0;0;0;1611;1473;927;1684;0;1759;0;0;0;0
It's Five O'clock;Aphrodite's Child;1970;1152;0;873;978;608;1076;1157;1214;972;1004;1561;1474;1879;0;0;0
Rain And Tears;Aphrodite's Child;1968;489;278;253;264;399;290;337;428;280;333;700;466;743;1242;1655;0
Sugar Sugar;Archies;1969;0;0;1603;1529;0;0;1999;0;0;0;0;0;0;0;0;0
Do I Wanna Know;Arctic Monkeys;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1029
Think;Aretha Franklin;1968;212;273;308;305;301;241;339;384;259;288;583;314;374;459;631;681
Respect;Aretha Franklin;1967;402;447;518;409;314;254;418;588;313;367;715;342;434;665;598;782
I Say A Little Prayer;Aretha Franklin;1968;407;438;465;440;766;456;517;504;360;448;821;498;519;606;803;793
You Make Me Feel Like A Natural Woman;Aretha Franklin;1967;0;965;902;970;779;406;498;677;578;588;815;436;684;1086;985;1080
Spanish Harlem;Aretha Franklin;1971;1299;1225;1043;921;1122;949;876;1349;955;1039;1765;1253;1521;0;0;0
Hold Your Head Up;Argent;1972;0;0;0;0;0;0;0;1949;0;0;0;0;0;0;0;0
Leonie;Arjan Brass;1976;1738;0;1511;1813;1921;0;0;0;0;0;0;0;0;0;0;0
City Of New Orleans;Arlo Guthrie;1972;1685;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ben Ik Te Min;Armand;1967;508;402;540;457;442;307;382;508;382;404;893;676;796;715;1022;1279
Blommenkinders;Armand;1967;0;0;0;0;0;0;1493;1764;1461;1869;0;0;0;0;0;0
This Is What It Feels Like;Armin van Buuren;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1243;146
Meisjes Met Rode Haren;Arne Jansen & Les Cigales;1972;1347;1038;1066;1743;1665;1178;1580;1780;1707;1580;0;0;0;0;0;0
Bright Eyes;Art Garfunkel;1979;46;51;53;100;137;120;154;222;140;136;347;223;281;455;470;631
Et Si Tu Pars;Art Sullivan & Kiki;1977;0;1828;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sweet Soul Music;Arthur Conley;1967;0;1801;1598;1692;1342;1499;1926;1987;0;1899;0;0;0;0;0;0
Solid;Ashford & Simpson;1985;1852;0;0;1198;0;0;0;0;0;0;0;0;0;0;0;0
Breakfast;Associates;1985;0;946;1147;1214;1622;1620;1832;0;1908;1895;0;0;0;0;0;0
Along Comes Mary;Association;1966;0;1307;0;1596;1664;1556;0;0;0;0;0;0;0;0;0;0
